example_name	instance_name	initial_point_name	objective_key	objective_option	use_grey_box_objective	derivative_mode	gradient_method	run_rep	run_id	out_json
two_param_sin	smoke	nominal	d_opt_cholesky	determinant	False	finite_difference	central	1	two_param_sin__smoke__nominal__d_opt_cholesky__finite_difference__rep01	results/raw/two_param_sin__smoke__nominal__d_opt_cholesky__finite_difference__rep01.json
two_param_sin	smoke	nominal	d_opt_cholesky	determinant	False	finite_difference	central	2	two_param_sin__smoke__nominal__d_opt_cholesky__finite_difference__rep02	results/raw/two_param_sin__smoke__nominal__d_opt_cholesky__finite_difference__rep02.json
two_param_sin	smoke	nominal	d_opt_cholesky	determinant	False	symbolic	pynumero	1	two_param_sin__smoke__nominal__d_opt_cholesky__symbolic__rep01	results/raw/two_param_sin__smoke__nominal__d_opt_cholesky__symbolic__rep01.json
two_param_sin	smoke	nominal	d_opt_cholesky	determinant	False	symbolic	pynumero	2	two_param_sin__smoke__nominal__d_opt_cholesky__symbolic__rep02	results/raw/two_param_sin__smoke__nominal__d_opt_cholesky__symbolic__rep02.json
two_param_sin	smoke	nominal	d_opt_greybox	determinant	True	finite_difference	central	1	two_param_sin__smoke__nominal__d_opt_greybox__finite_difference__rep01	results/raw/two_param_sin__smoke__nominal__d_opt_greybox__finite_difference__rep01.json
two_param_sin	smoke	nominal	d_opt_greybox	determinant	True	finite_difference	central	2	two_param_sin__smoke__nominal__d_opt_greybox__finite_difference__rep02	results/raw/two_param_sin__smoke__nominal__d_opt_greybox__finite_difference__rep02.json
two_param_sin	smoke	nominal	d_opt_greybox	determinant	True	symbolic	pynumero	1	two_param_sin__smoke__nominal__d_opt_greybox__symbolic__rep01	results/raw/two_param_sin__smoke__nominal__d_opt_greybox__symbolic__rep01.json
two_param_sin	smoke	nominal	d_opt_greybox	determinant	True	symbolic	pynumero	2	two_param_sin__smoke__nominal__d_opt_greybox__symbolic__rep02	results/raw/two_param_sin__smoke__nominal__d_opt_greybox__symbolic__rep02.json
two_param_sin	smoke	shifted	d_opt_cholesky	determinant	False	finite_difference	central	1	two_param_sin__smoke__shifted__d_opt_cholesky__finite_difference__rep01	results/raw/two_param_sin__smoke__shifted__d_opt_cholesky__finite_difference__rep01.json
two_param_sin	smoke	shifted	d_opt_cholesky	determinant	False	finite_difference	central	2	two_param_sin__smoke__shifted__d_opt_cholesky__finite_difference__rep02	results/raw/two_param_sin__smoke__shifted__d_opt_cholesky__finite_difference__rep02.json
two_param_sin	smoke	shifted	d_opt_cholesky	determinant	False	symbolic	pynumero	1	two_param_sin__smoke__shifted__d_opt_cholesky__symbolic__rep01	results/raw/two_param_sin__smoke__shifted__d_opt_cholesky__symbolic__rep01.json
two_param_sin	smoke	shifted	d_opt_cholesky	determinant	False	symbolic	pynumero	2	two_param_sin__smoke__shifted__d_opt_cholesky__symbolic__rep02	results/raw/two_param_sin__smoke__shifted__d_opt_cholesky__symbolic__rep02.json
two_param_sin	smoke	shifted	d_opt_greybox	determinant	True	finite_difference	central	1	two_param_sin__smoke__shifted__d_opt_greybox__finite_difference__rep01	results/raw/two_param_sin__smoke__shifted__d_opt_greybox__finite_difference__rep01.json
two_param_sin	smoke	shifted	d_opt_greybox	determinant	True	finite_difference	central	2	two_param_sin__smoke__shifted__d_opt_greybox__finite_difference__rep02	results/raw/two_param_sin__smoke__shifted__d_opt_greybox__finite_difference__rep02.json
two_param_sin	smoke	shifted	d_opt_greybox	determinant	True	symbolic	pynumero	1	two_param_sin__smoke__shifted__d_opt_greybox__symbolic__rep01	results/raw/two_param_sin__smoke__shifted__d_opt_greybox__symbolic__rep01.json
two_param_sin	smoke	shifted	d_opt_greybox	determinant	True	symbolic	pynumero	2	two_param_sin__smoke__shifted__d_opt_greybox__symbolic__rep02	results/raw/two_param_sin__smoke__shifted__d_opt_greybox__symbolic__rep02.json
two_param_sin	default	nominal	d_opt_cholesky	determinant	False	finite_difference	central	1	two_param_sin__default__nominal__d_opt_cholesky__finite_difference__rep01	results/raw/two_param_sin__default__nominal__d_opt_cholesky__finite_difference__rep01.json
two_param_sin	default	nominal	d_opt_cholesky	determinant	False	finite_difference	central	2	two_param_sin__default__nominal__d_opt_cholesky__finite_difference__rep02	results/raw/two_param_sin__default__nominal__d_opt_cholesky__finite_difference__rep02.json
two_param_sin	default	nominal	d_opt_cholesky	determinant	False	symbolic	pynumero	1	two_param_sin__default__nominal__d_opt_cholesky__symbolic__rep01	results/raw/two_param_sin__default__nominal__d_opt_cholesky__symbolic__rep01.json
two_param_sin	default	nominal	d_opt_cholesky	determinant	False	symbolic	pynumero	2	two_param_sin__default__nominal__d_opt_cholesky__symbolic__rep02	results/raw/two_param_sin__default__nominal__d_opt_cholesky__symbolic__rep02.json
two_param_sin	default	nominal	d_opt_greybox	determinant	True	finite_difference	central	1	two_param_sin__default__nominal__d_opt_greybox__finite_difference__rep01	results/raw/two_param_sin__default__nominal__d_opt_greybox__finite_difference__rep01.json
two_param_sin	default	nominal	d_opt_greybox	determinant	True	finite_difference	central	2	two_param_sin__default__nominal__d_opt_greybox__finite_difference__rep02	results/raw/two_param_sin__default__nominal__d_opt_greybox__finite_difference__rep02.json
two_param_sin	default	nominal	d_opt_greybox	determinant	True	symbolic	pynumero	1	two_param_sin__default__nominal__d_opt_greybox__symbolic__rep01	results/raw/two_param_sin__default__nominal__d_opt_greybox__symbolic__rep01.json
two_param_sin	default	nominal	d_opt_greybox	determinant	True	symbolic	pynumero	2	two_param_sin__default__nominal__d_opt_greybox__symbolic__rep02	results/raw/two_param_sin__default__nominal__d_opt_greybox__symbolic__rep02.json
two_param_sin	default	shifted	d_opt_cholesky	determinant	False	finite_difference	central	1	two_param_sin__default__shifted__d_opt_cholesky__finite_difference__rep01	results/raw/two_param_sin__default__shifted__d_opt_cholesky__finite_difference__rep01.json
two_param_sin	default	shifted	d_opt_cholesky	determinant	False	finite_difference	central	2	two_param_sin__default__shifted__d_opt_cholesky__finite_difference__rep02	results/raw/two_param_sin__default__shifted__d_opt_cholesky__finite_difference__rep02.json
two_param_sin	default	shifted	d_opt_cholesky	determinant	False	symbolic	pynumero	1	two_param_sin__default__shifted__d_opt_cholesky__symbolic__rep01	results/raw/two_param_sin__default__shifted__d_opt_cholesky__symbolic__rep01.json
two_param_sin	default	shifted	d_opt_cholesky	determinant	False	symbolic	pynumero	2	two_param_sin__default__shifted__d_opt_cholesky__symbolic__rep02	results/raw/two_param_sin__default__shifted__d_opt_cholesky__symbolic__rep02.json
two_param_sin	default	shifted	d_opt_greybox	determinant	True	finite_difference	central	1	two_param_sin__default__shifted__d_opt_greybox__finite_difference__rep01	results/raw/two_param_sin__default__shifted__d_opt_greybox__finite_difference__rep01.json
two_param_sin	default	shifted	d_opt_greybox	determinant	True	finite_difference	central	2	two_param_sin__default__shifted__d_opt_greybox__finite_difference__rep02	results/raw/two_param_sin__default__shifted__d_opt_greybox__finite_difference__rep02.json
two_param_sin	default	shifted	d_opt_greybox	determinant	True	symbolic	pynumero	1	two_param_sin__default__shifted__d_opt_greybox__symbolic__rep01	results/raw/two_param_sin__default__shifted__d_opt_greybox__symbolic__rep01.json
two_param_sin	default	shifted	d_opt_greybox	determinant	True	symbolic	pynumero	2	two_param_sin__default__shifted__d_opt_greybox__symbolic__rep02	results/raw/two_param_sin__default__shifted__d_opt_greybox__symbolic__rep02.json
